Note,Unigram,Bigram,Trigram
Travel and Tourism Site for Vermont -- Note added 6/6/13 19:19,"site,tourism,travel","travel tourism,tourism site",travel tourism site
See historical snapshot at: http://web.archive.org/web/20080120044716/http://www.1800arkansas.com/  -- Note added 1/24/14 14:38,,,
"2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. -- Note added 5/27/14 14:14","department,virginia,services",virginia department,
"2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. -- Note added 1/10/14 19:17","department,virginia,services",virginia department,
4th Judicial District Attorney -- Note added 1/10/14 19:17,,,
"511 NY (New York State Department of Transportation), the free, official one-stop, all-encompassing telephone and Web service offering  information on transportation services and conditions throughout New York State.  -- Note added 1/24/14 14:34","state,department,services","new york,york state",new york state
State of Idaho (mirror website of www.idaho.gov) -- Note added 7/17/14 14:28,state,,
Alabama Cooperative Extension System -- Note added 6/12/13 16:37,,,
New Mexico Cooperative Extension Publications -- Note added 7/25/13 17:38,,,
Pennsylvania Adoption Exchange -- Note added 6/30/14 15:39,,,
Alabama Department of Public Health -- Note added 6/12/13 16:40,"department,health,public",public health,
University of Massachusetts Center for Agriculture Research and Extension -- Note added 11/20/13 15:32,,,
Texas A&M AgriLife Extension -- Note added 3/3/15 6:32,,,
Alabama Housing Finance Authority -- Note added 6/12/13 16:40,authority,,
Alaska Housing Finance Corporation -- Note added 6/6/13 18:08,,,
Alaska Industrial Development and Export Authority -- Note added 6/6/13 18:08,authority,,
Alaska's Department of Military and Veterans Affairs Division of Homeland Security and Emergency Management -- Note added 6/27/14 6:01,"department,division",,
Alaska Aerospace Corporation (Board of directors appointed by Alaska governor) -- Note added 7/23/14 15:36,board,,
Alaska Energy Authority -- Note added 6/6/13 18:08,authority,,
Alaska Public Broadcasting Commission -- Note added 6/6/13 18:08,"commission,public",,
Alaska Railroad Corporation -- Note added 6/6/13 18:08,,,
Travel and Tourism Site for Alabama -- Note added 6/6/13 19:22,"site,tourism,travel","travel tourism,tourism site",travel tourism site
Alabama National Guard Counterdrug Program -- Note added 1/23/14 13:41,,national guard,
Alabama Film Office -- Note added 6/12/13 16:42,office,,
"Alabama's Legal Information Center, Alabama Supreme Court and State Law Library Catalog - catalog.alalinc.net and 2.alalinc.net -- Note added 6/12/13 16:43",state,,
Alaska Railroad Corporation -- Note added 7/2/13 17:55,,,
Alaska Seafood Marketing Institute -- Note added 6/6/13 18:08,,,
Alabama State Board of Medical Examiners (an administrative and regulatory agency of the state of Alabama) and the Medical Licensure Commission of Alabama -- Note added 6/12/13 16:46,"state,board,commission",state board,
Alabama Board of Pharmacy -- Note added 6/12/13 16:47,board,,
Alabama State Department of Education -- Note added 6/12/13 17:15,"state,department",department education,
Travel and Tourism Site for American Samoa -- Note added 6/6/13 19:22,"site,tourism,travel","travel tourism,tourism site",travel tourism site
