ngrams,state,Notes
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", Vermont",Travel and Tourism Site for Vermont -- Note added 6/6/13 19:19
,,See historical snapshot at: http://web.archive.org/web/20080120044716/http://www.1800arkansas.com/  -- Note added 1/24/14 14:38
"department,services",", Virginia","2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. -- Note added 5/27/14 14:14"
"department,services",", Virginia","2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. -- Note added 1/10/14 19:17"
,,4th Judicial District Attorney -- Note added 1/10/14 19:17
"services,york state,department,state",", New York","511 NY (New York State Department of Transportation), the free, official one-stop, all-encompassing telephone and Web service offering  information on transportation services and conditions throughout New York State.  -- Note added 1/24/14 14:34"
state,", Idaho",State of Idaho (mirror website of www.idaho.gov) -- Note added 7/17/14 14:28
,", Alabama",Alabama Cooperative Extension System -- Note added 6/12/13 16:37
,", New Mexico",New Mexico Cooperative Extension Publications -- Note added 7/25/13 17:38
,", Pennsylvania",Pennsylvania Adoption Exchange -- Note added 6/30/14 15:39
"health,public,public health,department",", Alabama",Alabama Department of Public Health -- Note added 6/12/13 16:40
,", Massachusetts",University of Massachusetts Center for Agriculture Research and Extension -- Note added 11/20/13 15:32
,", Texas",Texas A&M AgriLife Extension -- Note added 3/3/15 6:32
authority,", Alabama",Alabama Housing Finance Authority -- Note added 6/12/13 16:40
,", Alaska",Alaska Housing Finance Corporation -- Note added 6/6/13 18:08
authority,", Alaska",Alaska Industrial Development and Export Authority -- Note added 6/6/13 18:08
"division,department",", Alaska",Alaska's Department of Military and Veterans Affairs Division of Homeland Security and Emergency Management -- Note added 6/27/14 6:01
board,", Alaska",Alaska Aerospace Corporation (Board of directors appointed by Alaska governor) -- Note added 7/23/14 15:36
authority,", Alaska",Alaska Energy Authority -- Note added 6/6/13 18:08
"public,commission",", Alaska",Alaska Public Broadcasting Commission -- Note added 6/6/13 18:08
,", Alaska",Alaska Railroad Corporation -- Note added 6/6/13 18:08
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", Alabama",Travel and Tourism Site for Alabama -- Note added 6/6/13 19:22
national guard,", Alabama",Alabama National Guard Counterdrug Program -- Note added 1/23/14 13:41
office,", Alabama",Alabama Film Office -- Note added 6/12/13 16:42
state,", Alabama","Alabama's Legal Information Center, Alabama Supreme Court and State Law Library Catalog - catalog.alalinc.net and 2.alalinc.net -- Note added 6/12/13 16:43"
,", Alaska",Alaska Railroad Corporation -- Note added 7/2/13 17:55
,", Alaska",Alaska Seafood Marketing Institute -- Note added 6/6/13 18:08
"board,commission,state board,state",", Alabama",Alabama State Board of Medical Examiners (an administrative and regulatory agency of the state of Alabama) and the Medical Licensure Commission of Alabama -- Note added 6/12/13 16:46
board,", Alabama",Alabama Board of Pharmacy -- Note added 6/12/13 16:47
"department education,department,state",", Alabama",Alabama State Department of Education -- Note added 6/12/13 17:15
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", American Samoa",Travel and Tourism Site for American Samoa -- Note added 6/6/13 19:22
state,", Washington, Oregon","Amtrak Cascades, a train service sponsored by the state departments of transportation of Washington and Oregon. -- Note added 6/17/14 14:40"
,,Agency for Persons with Disabilities (APD) -- Note added 2/25/15 15:33
,", Alaska",Alaska Permanent Fund Corporation -- Note added 6/6/13 18:08
"public,commission",", Arkansas",Arkansas Public Service Commission -- Note added 1/10/14 17:55
"department,division,public,state",", Arkansas",ARBenefitsfor Arkansas State and Public School Plan MembersProvided by the Employee Benefit Division of the [Arkansas] Department of Finance & Administration -- Note added 12/10/14 6:24
board,", Arkansas",Arkansas Fire Protection Licensing Board -- Note added 6/12/13 18:10
national guard,", Arkansas",Arkansas National Guard -- Note added 1/23/14 13:42
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", Arizona",Travel and Tourism Site for Arizona -- Note added 6/6/13 19:16
lottery,", Arizona",Arizona lottery -- Note added 11/18/13 15:03
,", Arizona","Arizona's Workforce Connection!, a website of the Governor's Council on Workforce Policy developed to provide easy access to the workforce development system in Arizona. -- Note added 11/18/13 15:13"
"tourism,division,department,commission",", Arkansas","Arkansas History Commission, a division of the Arkansas Department of Parks and Tourism -- Note added 12/10/14 6:32"
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", Arkansas",Travel and Tourism Site for Arkansas -- Note added 6/6/13 19:23
,", Arkansas",Arkansas Children's Trust Fund -- Note added 7/17/13 16:07
"department,department education",", Arkansas",Arkansas Department of Education -- Note added 12/10/14 6:56
economic development,", Arkansas",Arkansas Economic Development Coorporation (AEDC) -- Note added 1/24/14 14:36
commission,", Arkansas",Arkansas Ethics Commission -- Note added 7/17/13 16:13
"health,department,services",", Arkansas","ARKids First health insurance, Arkansas Department of Human Services -- Note added 1/10/14 19:17"
commission,", Arkansas",Arkansas Livestock and Poultry Commission -- Note added 7/17/13 16:14
"board,state",", Arkansas",Arkansas State Medical Board -- Note added 7/17/13 17:16
"board,state board,state",", Arkansas",Arkansas State Board of Optometry -- Note added 11/18/13 15:44
"board,state board,state",", Arkansas",Arkansas State Board of Physical Therapy -- Note added 11/18/13 15:45
"board,state board,state",", Arkansas",Arkansas State Board of Collection Agencies -- Note added 11/18/13 15:45
"authority,state",", Alabama","Alabama State Port Authority, Mobile, AL -- Note added 6/12/13 17:16"
office,", American Samoa",American Samoa Territorial Energy Office -- Note added 6/7/13 14:55
"york state,site,public,state",", New York",New York State Public Service Commission’s Consumer Web Site -- Note added 1/10/14 19:17
state,", California","California State Assembly Democratic Caucus, State of California -- Note added 6/6/13 18:08"
authority,,Assistive Technology Loan Fund Authority. The authority offers low interest loans for a variety of special equipment to eligible applicants. See the establishing law at http://law.lis.virginia.gov/authorities/assistive-technology-loan-fund-authority-atlfa  -- Note added 7/23/14 15:46
"health,board",", Arizona",Arizona Board of Behavioral Health Examiners -- Note added 12/11/13 13:50
authority,", Arizona",Arizona Commerce Authority -- Note added 12/11/13 13:50
"board,state board,state",", Arizona",Arizona State Board of Dental Examiners -- Note added 12/11/13 13:50
state,", Arizona",Arizona State Parks -- Note added 12/11/13 13:51
"department,north,carolina department,department cultural resources,carolina",", North Carolina","USS North Carolina Battleship, North Carolina Department of Cultural Resources -- Note added 3/20/14 17:19"
,", Washington","Village of Baxter Estates, Port Washington, NY -- Note added 6/8/15 12:11"
"board,carolina,north",", North Carolina",North Carolina Board of Massage & Bodywork Therapy -- Note added 9/11/15 18:20
nc,,NC museum of natural sciences  -- Note added 9/11/15 18:50
state,", Connecticut",State of Connecticut Bonds -- Note added 6/27/13 19:52
state,", California","California Humanities is an independent non-profit partner of the National Endowment for the Humanities,  nthat promotes the humanities in California in order to help create &ldquo;a state of open mind.' -- Note added 3/10/15 15:07"
"office,state",", California","CaliforniaVolunteers, the state office that manages programs and initiatives aimed at increasing the number of Californians engaged in service and volunteering -- Note added 11/22/13 14:11"
state,,CA State Independent Living Counsel advocates for persons with disabilities to enable them to live independently. n  -- Note added 3/5/15 22:35
state,", California",California State Teachers Retirement System -- Note added 3/9/15 15:17
state,", Nebraska",Nebraska State Capitol -- Note added 12/6/13 19:48
"division,nc,state",,"Caswell Developmental Center, NC Division of State Operated Healthcare Facilities -- Note added 6/6/13 18:08"
"health,public,public health,department",", California","California Environmental Health Tracking Program, California Department of Public Health -- Note added 10/24/14 12:09"
,", Kentucky",Univ of Kentucky Extension website -- Note added 8/27/15 16:14
state,", American Samoa, Guam, Hawaii","Hawaii-Pacific Area Combined Federal Campaign - geographic area includes the State of Hawaii, Guam, Northern Marianas Islands, and American Samoa -- Note added 6/12/13 13:14"
,", Indiana","Tristate CFC, Indiana -- Note added 8/27/15 14:19"
"carolina,north",", North Carolina","College Foundation of North Carolina, a service of the State of North Carolina -- Note added 7/24/13 16:09"
,,"Chesapeake Bay Program, Restoration of the Chesapeake Bay http://www.chesapeakebay.net -- Note added 11/20/13 16:26"
health,", Pennsylvania",Pennsylvania's Children's Health Insurance Program (CHIP) -- Note added 6/6/13 18:08
"department,economic development",", Maryland",Maryland Department of Business and Economic Development -- Note added 1/10/14 19:17
,", Connecticut",Connecticut Historical SocietyMuseum and Library -- Note added 12/15/14 6:22
nc,,"statesville, nc -- Note added 9/11/15 19:22"
,,"Clemson Univ, Sc -- Note added 8/28/15 13:40"
commission,", Arkansas",Arkansas Commission on Law Enforcement Standards and Training -- Note added 7/17/13 18:34
department,", Alabama","Coliseum Boulevard Plume (CBP), an area in Montgomery, Alabama, where the groundwater 10-50 feet below land surface contains trichloroethylene (TCE).  Investigation, management, and cleanup of the groundwater is being conducted by the https://www.dot.state.al.us/ Alabama Department of Transportation (ALDOT). -- Note added 9/24/14 16:14"
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", Colorado",Travel and Tourism Site for Colorado -- Note added 6/6/13 19:23
lottery,", Colorado",Colorado lottery -- Note added 6/12/13 14:06
"site,public,commission",", Colorado","Colorado No Call program. A private company, Data Protection Group, operates this site under contract with the Colorado Public Utilities Commission. -- Note added 7/11/14 5:54"
,", Colorado","Upper Colorado River Endangered Fish Recovery Program, U.S. Fish and Wildlife Service -- Note added 7/23/14 13:45"
"carolina,north",", North Carolina",North Carolina DOT Complete Streets -- Note added 1/22/14 18:53
"department,public,north,carolina department,carolina",", North Carolina","Correction Enterprises, North Carolina Department of Public Safety -- Note added 7/24/13 14:00"
board,", Louisiana",Louisiana Crawfish Promotion and Research Board (LCPRB) -- Note added 9/22/15 16:53
,", Georgia",Georgia Superior Courts -- Note added 8/25/15 14:44
state,", Connecticut",Connecticut State Treasury Unclaimed Property Owners List -- Note added 12/15/14 6:38
state,", New York","Center for Technology at the University at Albany, State University of New York -- Note added 6/29/15 15:02"
lottery,", Connecticut",Connecticut lottery -- Note added 6/12/13 14:06
state,", Connecticut",Connecticut State Library -- Note added 7/26/13 16:15
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", Connecticut",Travel and Tourism Site for Connecticut -- Note added 6/6/13 19:28
,,Clean Water Management Trust Fund  -- Note added 9/11/15 19:49
state,,IL Secretary of State -- Note added 7/1/14 20:19
national guard,", Delaware",Delaware National Guard -- Note added 1/23/14 14:03
"nc,division,department,nc department",,"Division of Employment Security (DES), NC Department of Commerce (NCC) -- Note added 9/22/15 14:15"
services,", Massachusetts","Massachusetts JobQuest, Massachusetts Deparment of Career Services -- Note added 12/17/14 15:04"
"state,services",", Maine","About the Digital Maine Repository The Digital Maine Repository is one of several services of the Maine State Library to facilitate digitization of - and enhanced access to - collections related to Maine history, genealogy, culture and government. The repository was designed to host a variety of media including books, images, maps and documents, as well as audio and video collections.  -- Note added 12/8/16 22:08"
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", Ohio",Travel and Tourism Site for Ohio -- Note added 6/6/13 19:30
"travel tourism,travel tourism site,travel,tourism,tourism site,carolina,site",", South Carolina",Travel and Tourism Site for South Carolina -- Note added 6/6/13 19:30
department,", Virginia",Virginia Department of Motor Vehicles -- Note added 6/6/14 20:27
"department,department education",", American Samoa",American Samoa Department of Education -- Note added 4/4/14 10:58
nc,,NC Dept of Revenue -- Note added 9/11/15 19:50
"department,carolina department,carolina,north",", North Carolina","Driving95 Corridor Planning and Finance Study website, North Carolina Department of Transportation (NCDOT) -- Note added 9/22/15 16:56"
national guard,", Wisconsin",Wisconsin National Guard Drug Control Program -- Note added 1/23/14 14:03
site,,myeatsmartmovemore.com is the 'consumer' site and eatsmartmovemorenc.com is the 'program' site. -- Note added 7/24/13 16:22
board,,Educational Communications Board of WI -- Note added 8/5/14 5:24
"board,state",", Pennsylvania","Environmental Hearing Board, State of Pennsylvania -- Note added 11/19/13 12:52"
health,,Environmental Health Officer Professional Advisory Committee -- Note added 6/14/13 19:13
"office,state",", Virginia",Virginia Office of the State Long-Term Care Ombudsman -- Note added 8/27/15 15:01
state,", Washington",Washington State University ExtensionEnergy Program -- Note added 11/20/14 7:13
division,,"The Energy Section in the Division of Energy, Mineral and Land Resources  -- Note added 9/11/15 19:55"
"office,tourism",", Illinois",Illinois Office of Tourism -- Note added 7/1/14 20:35
nc,,environmental help website of NC -- Note added 9/11/15 19:56
,", Nebraska",Nebraska Environmental Trust -- Note added 12/6/13 19:52
site,,This is a site of the east-west gateway Council of Government in the bi-state St. Louis area. -- Note added 10/1/15 20:20
,,Executive Action Team (EXACT) Multilateral Working Group on Water Resources -- Note added 8/19/13 16:18
"travel tourism,travel tourism site,state,travel,tourism,tourism site,site",", Washington",Travel and tourism site for Washington State -- Note added 6/6/13 19:36
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", Georgia",Travel and Tourism Site for Georgia -- Note added 6/6/13 19:36
"travel tourism,travel tourism site,state,travel,tourism,tourism site,site",", Minnesota",Travel and tourism site for state of Minnesota hosted by Explore Minnesota Tourism -- Note added 4/26/15 2:33
,", Virginia",Virginia Cooperative Extension  -- Note added 6/6/14 20:29
"state university extension,state",", Washington",Washington State University Extension -- Note added 11/20/14 7:10
,", West Virginia, Virginia",West Virginia University Extension Service -- Note added 7/24/14 5:33
"state university extension,state",", Iowa",Iowa State University Extension -- Note added 8/25/15 20:26
,", Illinois",University of Illinois Extension -- Note added 11/20/13 15:35
cooperative extension service,", New Mexico",New Mexico Cooperative Extension Service -- Note added 7/25/13 17:39
"state university extension,state",", Oregon",Oregon State University Extension Service -- Note added 6/20/14 16:52
state,,Penn State Extension -- Note added 9/30/14 13:18
,", Indiana",Purdue (Indiana) Cooperative Extension -- Note added 7/19/13 13:34
cooperative extension service,", Delaware",University of Delaware Cooperative Extension Service -- Note added 6/7/13 16:52
,", Maine",Univ of Maine extension -- Note added 8/27/15 18:13
,", Minnesota",University of Minnesota Extension -- Note added 12/6/13 16:23
,,Univ of NH -- Note added 8/28/15 18:52
,", Nebraska",University of Nebraska&ndash;Lincoln Extension -- Note added 11/20/13 19:17
"state university extension,state",", Utah",Utah State University extension -- Note added 8/21/14 5:14
state,,OK State Family & Consumer website -- Note added 8/28/15 16:47
"board,office,commission",", Florida","The Florida Commission on the Status of Women - The Florida Commission on the Status of Women is a nonpartisan board, statutorily created in 1991, consisting of 22 appointed members. The Commission is administratively housed in the Office of the Attorney General. -- Note added 7/9/15 14:45"
,,SC film industry -- Note added 8/28/15 13:47
commission,", Pennsylvania",Pennsylvania Fish and Boat Commission (PFBC) -- Note added 6/7/13 11:30
lottery,", Florida",Florida lottery -- Note added 6/12/13 14:07
,", Florida","Florida Courts - The mission of the judicial branch is to protect rights and liberties, uphold and interpret the law, and provide for the peaceful resolution of disputes. -- Note added 6/17/15 13:01"
"department,department education",", Florida",Florida Department of Education -- Note added 6/17/15 13:06
office,", Florida",Florida Governor's Office -- Note added 6/6/13 18:08
"office,services",", Florida","Florida Office of Financial Regulation - Key Function: provides regulatory oversight for Florida's financial services providers.  Mission: to protect the citizens of Florida, promote a safe and sound financial marketplace, and contribute to the growth of Florida's economy with smart, efficient and effective regulation of the financial services industry. -- Note added 6/17/15 13:13"
office,", Florida",Florida Office of Insurance Regulation - To promote a stable and competitive insurance market for consumers. -- Note added 6/17/15 13:17
"national guard,office,authority",", Florida",Florida National Guard Counterdrug.  n   Florida Counterdrup Program - Under this authority our office provides oversight of the FLARNG and FLANG Substance Abuse Prevention Programs.      -- Note added 6/17/15 13:20
commission,", Florida",Florida Fish and Wildlife Conservation Commission -- Note added 7/8/14 12:46
,", Florida",Florida re-districting website.  House Speaker Will Weatherford and Senate President Don Gaetz called a special session from August 7-15 to amend Congressional Districts 5 and 10 consistent with the Final Judgment issued by the circuit court in Romo v. Detzner and to make conforming changes to districts that are a direct result of the changes to Congressional Districts 5 and 10. -- Note added 6/23/15 18:02
"department,health,public health,public",", Florida","Florida Environmental Public Health Tracking, Florida Department of Health This web portal was supported by Cooperative Agreement Number 5U38EH000941 from the Centers for Disease Control and Prevention. Its contents are solely the responsibility of the authors (FL Tracking Team) and do not necessarily represent the official views of the Centers for Disease Control and Prevention. -- Note added 7/9/15 15:15"
state,", Florida","The state of Florida's Unclaimed Property, Florida Treasure Hunt. -- Note added 6/6/13 18:08"
,", Florida","Florida Water Permiting Portal This portal provides links to information about water resource permitting in Florida, and links to DEP and the water management districts to: n Apply for permits and other authorizations, including: n Environmental Resource Permits * (and authorizations to use state-owned submerged lands, where applicable) Consumptive and Water Use Permits Well Construction Permits Works of the District Permits    -- Note added 6/23/15 18:21"
"department agriculture consumer,department,services",", Florida",Florida Department of Agriculture and Consumer Services -- Note added 1/10/14 19:03
,", Federated States Of Micronesia",National Government of the Federated States of Micronesia -- Note added 6/12/13 13:58
national guard,", Georgia",Georgia National Guard -- Note added 1/23/14 13:59
"department education,department,state",", Georgia",State of Georgia Department of Education -- Note added 6/6/13 18:08
lottery,", Georgia",Georgia lottery -- Note added 6/12/13 14:07
,,GA Do Not Call List. GA Dept of Law. Consumer Protection Unit.  -- Note added 8/25/15 15:32
state,", Georgia",Georgia State Defense Force -- Note added 1/23/14 14:03
"public,state",", Georgia",Georgia State Defense Force public beta domain. Crosslinked with gasdf.us email domain.
"public,state",", Georgia",Georgia State Defense Force email domain. Referenced on https://directory.doas.ga.gov/. Not in use as a public website.
"department,state,department education,board,office,state board",", Mississippi","GEAR UP Mississippi operates as part of the Institutions of Higher Learning, Office of Academic and Student Affairs in collaboration with the Mississippi Department of Education, State Board for Community and Junior Colleges and community and national partners. Funding is provided by the United States Department of Education. -- Note added 7/23/14 17:21"
national guard,,Lousiana National Guard -- Note added 1/22/14 19:28
,", New Mexico",New Mexico Bureau of Geology & Mineral Resources -- Note added 7/16/14 5:13
commission,", Georgia",The Georgia Civil War Commission -- Note added 8/25/15 15:31
,", Georgia",The Georgia Fiscal Management Council    -- Note added 8/25/15 15:30
,", Georgia",Georgia Trust (Preservation Committee) -- Note added 8/25/15 15:28
office,,Governor's Office of Homeland Security and Emergency Preparedness -- Note added 1/10/14 19:17
commission,", Oregon",Oregon Student Access Commission -- Note added 1/10/14 19:17
,,Ga National Fair Grounds and Agricenter -- Note added 8/25/15 15:27
commission,", Georgia",Georgia Commission on Dispute Resolution -- Note added 12/5/13 14:15
"travel tourism,travel tourism site,travel,authority,tourism,tourism site,site",", Hawaii","Hawaii Tourism Authority, Travel and Tourism Site for Hawaii -- Note added 2/10/15 14:00"
,", Pennsylvania",Pennsylvania Fish and Boat Commission's Outdoor Shop -- Note added 6/7/13 11:34
"department,north,carolina department,nc,department agriculture consumer,services,carolina",", North Carolina","Got to Be NC Agriculture, Goodness Grows in NC, North Carolina Department of Agriculture & Consumer Services -- Note added 6/28/13 16:56"
"nc,department,nc department",,"Got To Be NC Festival, a production of the NC Department of Agriculture -- Note added 8/2/13 15:48"
"office,division",", Arkansas",Consumer Protection Division of the Arkansas Attorney General's Office -- Note added 1/10/14 19:17
office,", Northern Mariana Islands","Office of the Governor and Lt. Governor, Commonwealth of the Northern Mariana Islands plus *.gov.mp pattern for other government websites -- Note added 6/7/13 18:59"
,,"*.gov.pr pattern for several Puerto Rican government agencies, such as https://www.google.com/#q=site:gov.pr  -- Note added 7/23/14 14:48"
,,*.gov.vi pattern for Virgin Island government sites -- Note added 6/7/13 18:57
"department,services",", Virginia","Virginia Correctional Enterprises, a Department of Corrections work program to produce goods and services for agencies of the Commonwealth of Virginia  -- Note added 11/19/13 21:11"
,", Mississippi","Governor Phil Bryant (Mississippi's 64th governor, 2012-) -- Note added 12/6/13 13:03"
,,Governor Morehead School for the Blind -- Note added 7/31/13 16:23
"office,state",", Louisiana","Office of Group Benefits, State of Louisiana -- Note added 9/22/15 17:04"
commission,", Georgia",Georgia Student Finance Commission -- Note added 8/25/15 15:25
,", Guam",Guam Attorney General -- Note added 6/7/13 17:47
