Raw,Unigram,Bigram,Trigram
Travel and Tourism Site for Vermont -- Note added 6/6/13 19:19,"[['Travel'], ['Tourism'], ['Site'], ['Vermont'], ['Note'], ['added'], ['6613'], ['1919']]","[['Travel', 'Tourism'], ['Tourism', 'Site'], ['Site', 'Vermont'], ['Vermont', 'Note'], ['Note', 'added'], ['added', '6613'], ['6613', '1919']]","[['Travel', 'Tourism', 'Site'], ['Tourism', 'Site', 'Vermont'], ['Site', 'Vermont', 'Note'], ['Vermont', 'Note', 'added'], ['Note', 'added', '6613'], ['added', '6613', '1919']]"
See historical snapshot at: http://web.archive.org/web/20080120044716/http://www.1800arkansas.com/  -- Note added 1/24/14 14:38,"[['See'], ['historical'], ['snapshot'], ['httpwebarchiveorgweb20080120044716httpwww1800arkansascom'], ['Note'], ['added'], ['12414'], ['1438']]","[['See', 'historical'], ['historical', 'snapshot'], ['snapshot', 'httpwebarchiveorgweb20080120044716httpwww1800arkansascom'], ['httpwebarchiveorgweb20080120044716httpwww1800arkansascom', 'Note'], ['Note', 'added'], ['added', '12414'], ['12414', '1438']]","[['See', 'historical', 'snapshot'], ['historical', 'snapshot', 'httpwebarchiveorgweb20080120044716httpwww1800arkansascom'], ['snapshot', 'httpwebarchiveorgweb20080120044716httpwww1800arkansascom', 'Note'], ['httpwebarchiveorgweb20080120044716httpwww1800arkansascom', 'Note', 'added'], ['Note', 'added', '12414'], ['added', '12414', '1438']]"
"2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. -- Note added 5/27/14 14:14","[['211'], ['VIRGINIA'], ['service'], ['Virginia'], ['Department'], ['Social'], ['Services'], ['provided'], ['partnership'], ['Council'], ['Community'], ['Services'], ['Family'], ['Resource'], ['Referral'], ['Center'], ['Planning'], ['Council'], ['United'], ['Way'], ['Central'], ['Virginia'], ['United'], ['Way'], ['Greater'], ['Richmond'], ['Petersburg'], ['Note'], ['added'], ['52714'], ['1414']]","[['211', 'VIRGINIA'], ['VIRGINIA', 'service'], ['service', 'Virginia'], ['Virginia', 'Department'], ['Department', 'Social'], ['Social', 'Services'], ['Services', 'provided'], ['provided', 'partnership'], ['partnership', 'Council'], ['Council', 'Community'], ['Community', 'Services'], ['Services', 'Family'], ['Family', 'Resource'], ['Resource', 'Referral'], ['Referral', 'Center'], ['Center', 'Planning'], ['Planning', 'Council'], ['Council', 'United'], ['United', 'Way'], ['Way', 'Central'], ['Central', 'Virginia'], ['Virginia', 'United'], ['United', 'Way'], ['Way', 'Greater'], ['Greater', 'Richmond'], ['Richmond', 'Petersburg'], ['Petersburg', 'Note'], ['Note', 'added'], ['added', '52714'], ['52714', '1414']]","[['211', 'VIRGINIA', 'service'], ['VIRGINIA', 'service', 'Virginia'], ['service', 'Virginia', 'Department'], ['Virginia', 'Department', 'Social'], ['Department', 'Social', 'Services'], ['Social', 'Services', 'provided'], ['Services', 'provided', 'partnership'], ['provided', 'partnership', 'Council'], ['partnership', 'Council', 'Community'], ['Council', 'Community', 'Services'], ['Community', 'Services', 'Family'], ['Services', 'Family', 'Resource'], ['Family', 'Resource', 'Referral'], ['Resource', 'Referral', 'Center'], ['Referral', 'Center', 'Planning'], ['Center', 'Planning', 'Council'], ['Planning', 'Council', 'United'], ['Council', 'United', 'Way'], ['United', 'Way', 'Central'], ['Way', 'Central', 'Virginia'], ['Central', 'Virginia', 'United'], ['Virginia', 'United', 'Way'], ['United', 'Way', 'Greater'], ['Way', 'Greater', 'Richmond'], ['Greater', 'Richmond', 'Petersburg'], ['Richmond', 'Petersburg', 'Note'], ['Petersburg', 'Note', 'added'], ['Note', 'added', '52714'], ['added', '52714', '1414']]"
"2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. -- Note added 1/10/14 19:17","[['211'], ['VIRGINIA'], ['service'], ['Virginia'], ['Department'], ['Social'], ['Services'], ['provided'], ['partnership'], ['Council'], ['Community'], ['Services'], ['Family'], ['Resource'], ['Referral'], ['Center'], ['Planning'], ['Council'], ['United'], ['Way'], ['Central'], ['Virginia'], ['United'], ['Way'], ['Greater'], ['Richmond'], ['Petersburg'], ['Note'], ['added'], ['11014'], ['1917']]","[['211', 'VIRGINIA'], ['VIRGINIA', 'service'], ['service', 'Virginia'], ['Virginia', 'Department'], ['Department', 'Social'], ['Social', 'Services'], ['Services', 'provided'], ['provided', 'partnership'], ['partnership', 'Council'], ['Council', 'Community'], ['Community', 'Services'], ['Services', 'Family'], ['Family', 'Resource'], ['Resource', 'Referral'], ['Referral', 'Center'], ['Center', 'Planning'], ['Planning', 'Council'], ['Council', 'United'], ['United', 'Way'], ['Way', 'Central'], ['Central', 'Virginia'], ['Virginia', 'United'], ['United', 'Way'], ['Way', 'Greater'], ['Greater', 'Richmond'], ['Richmond', 'Petersburg'], ['Petersburg', 'Note'], ['Note', 'added'], ['added', '11014'], ['11014', '1917']]","[['211', 'VIRGINIA', 'service'], ['VIRGINIA', 'service', 'Virginia'], ['service', 'Virginia', 'Department'], ['Virginia', 'Department', 'Social'], ['Department', 'Social', 'Services'], ['Social', 'Services', 'provided'], ['Services', 'provided', 'partnership'], ['provided', 'partnership', 'Council'], ['partnership', 'Council', 'Community'], ['Council', 'Community', 'Services'], ['Community', 'Services', 'Family'], ['Services', 'Family', 'Resource'], ['Family', 'Resource', 'Referral'], ['Resource', 'Referral', 'Center'], ['Referral', 'Center', 'Planning'], ['Center', 'Planning', 'Council'], ['Planning', 'Council', 'United'], ['Council', 'United', 'Way'], ['United', 'Way', 'Central'], ['Way', 'Central', 'Virginia'], ['Central', 'Virginia', 'United'], ['Virginia', 'United', 'Way'], ['United', 'Way', 'Greater'], ['Way', 'Greater', 'Richmond'], ['Greater', 'Richmond', 'Petersburg'], ['Richmond', 'Petersburg', 'Note'], ['Petersburg', 'Note', 'added'], ['Note', 'added', '11014'], ['added', '11014', '1917']]"
4th Judicial District Attorney -- Note added 1/10/14 19:17,"[['4th'], ['Judicial'], ['District'], ['Attorney'], ['Note'], ['added'], ['11014'], ['1917']]","[['4th', 'Judicial'], ['Judicial', 'District'], ['District', 'Attorney'], ['Attorney', 'Note'], ['Note', 'added'], ['added', '11014'], ['11014', '1917']]","[['4th', 'Judicial', 'District'], ['Judicial', 'District', 'Attorney'], ['District', 'Attorney', 'Note'], ['Attorney', 'Note', 'added'], ['Note', 'added', '11014'], ['added', '11014', '1917']]"
"511 NY (New York State Department of Transportation), the free, official one-stop, all-encompassing telephone and Web service offering  information on transportation services and conditions throughout New York State.  -- Note added 1/24/14 14:34","[['511'], ['NY'], ['New'], ['York'], ['State'], ['Department'], ['Transportation'], ['free'], ['official'], ['onestop'], ['allencompassing'], ['telephone'], ['Web'], ['service'], ['offering'], ['information'], ['transportation'], ['services'], ['conditions'], ['throughout'], ['New'], ['York'], ['State'], ['Note'], ['added'], ['12414'], ['1434']]","[['511', 'NY'], ['NY', 'New'], ['New', 'York'], ['York', 'State'], ['State', 'Department'], ['Department', 'Transportation'], ['Transportation', 'free'], ['free', 'official'], ['official', 'onestop'], ['onestop', 'allencompassing'], ['allencompassing', 'telephone'], ['telephone', 'Web'], ['Web', 'service'], ['service', 'offering'], ['offering', 'information'], ['information', 'transportation'], ['transportation', 'services'], ['services', 'conditions'], ['conditions', 'throughout'], ['throughout', 'New'], ['New', 'York'], ['York', 'State'], ['State', 'Note'], ['Note', 'added'], ['added', '12414'], ['12414', '1434']]","[['511', 'NY', 'New'], ['NY', 'New', 'York'], ['New', 'York', 'State'], ['York', 'State', 'Department'], ['State', 'Department', 'Transportation'], ['Department', 'Transportation', 'free'], ['Transportation', 'free', 'official'], ['free', 'official', 'onestop'], ['official', 'onestop', 'allencompassing'], ['onestop', 'allencompassing', 'telephone'], ['allencompassing', 'telephone', 'Web'], ['telephone', 'Web', 'service'], ['Web', 'service', 'offering'], ['service', 'offering', 'information'], ['offering', 'information', 'transportation'], ['information', 'transportation', 'services'], ['transportation', 'services', 'conditions'], ['services', 'conditions', 'throughout'], ['conditions', 'throughout', 'New'], ['throughout', 'New', 'York'], ['New', 'York', 'State'], ['York', 'State', 'Note'], ['State', 'Note', 'added'], ['Note', 'added', '12414'], ['added', '12414', '1434']]"
State of Idaho (mirror website of www.idaho.gov) -- Note added 7/17/14 14:28,"[['State'], ['Idaho'], ['mirror'], ['website'], ['wwwidahogov'], ['Note'], ['added'], ['71714'], ['1428']]","[['State', 'Idaho'], ['Idaho', 'mirror'], ['mirror', 'website'], ['website', 'wwwidahogov'], ['wwwidahogov', 'Note'], ['Note', 'added'], ['added', '71714'], ['71714', '1428']]","[['State', 'Idaho', 'mirror'], ['Idaho', 'mirror', 'website'], ['mirror', 'website', 'wwwidahogov'], ['website', 'wwwidahogov', 'Note'], ['wwwidahogov', 'Note', 'added'], ['Note', 'added', '71714'], ['added', '71714', '1428']]"
Alabama Cooperative Extension System -- Note added 6/12/13 16:37,"[['Alabama'], ['Cooperative'], ['Extension'], ['System'], ['Note'], ['added'], ['61213'], ['1637']]","[['Alabama', 'Cooperative'], ['Cooperative', 'Extension'], ['Extension', 'System'], ['System', 'Note'], ['Note', 'added'], ['added', '61213'], ['61213', '1637']]","[['Alabama', 'Cooperative', 'Extension'], ['Cooperative', 'Extension', 'System'], ['Extension', 'System', 'Note'], ['System', 'Note', 'added'], ['Note', 'added', '61213'], ['added', '61213', '1637']]"
New Mexico Cooperative Extension Publications -- Note added 7/25/13 17:38,"[['New'], ['Mexico'], ['Cooperative'], ['Extension'], ['Publications'], ['Note'], ['added'], ['72513'], ['1738']]","[['New', 'Mexico'], ['Mexico', 'Cooperative'], ['Cooperative', 'Extension'], ['Extension', 'Publications'], ['Publications', 'Note'], ['Note', 'added'], ['added', '72513'], ['72513', '1738']]","[['New', 'Mexico', 'Cooperative'], ['Mexico', 'Cooperative', 'Extension'], ['Cooperative', 'Extension', 'Publications'], ['Extension', 'Publications', 'Note'], ['Publications', 'Note', 'added'], ['Note', 'added', '72513'], ['added', '72513', '1738']]"
Pennsylvania Adoption Exchange -- Note added 6/30/14 15:39,"[['Pennsylvania'], ['Adoption'], ['Exchange'], ['Note'], ['added'], ['63014'], ['1539']]","[['Pennsylvania', 'Adoption'], ['Adoption', 'Exchange'], ['Exchange', 'Note'], ['Note', 'added'], ['added', '63014'], ['63014', '1539']]","[['Pennsylvania', 'Adoption', 'Exchange'], ['Adoption', 'Exchange', 'Note'], ['Exchange', 'Note', 'added'], ['Note', 'added', '63014'], ['added', '63014', '1539']]"
